"Region","sector_esc","nivel_en_curso","acceso_comp","cantidad","porcentaje"
"AMBA","Estatal","Primaria","NO",7168.475,54.72
"AMBA","Estatal","Primaria","SI",5930.792,45.28
"AMBA","Estatal","Secundaria","NO",4783.181,44.24
"AMBA","Estatal","Secundaria","SI",6029.874,55.76
"AMBA","Privada","Primaria","NO",756.88,11.98
"AMBA","Privada","Primaria","SI",5559.111,88.02
"AMBA","Privada","Secundaria","NO",1881.385,35.17
"AMBA","Privada","Secundaria","SI",3468.488,64.83
"Cuyo","Estatal","Primaria","NO",30069.516,58.56
"Cuyo","Estatal","Primaria","SI",21274.964,41.44
"Cuyo","Estatal","Secundaria","NO",18463.455,45.4
"Cuyo","Estatal","Secundaria","SI",22201.371,54.6
"Cuyo","Privada","Primaria","NO",4161.543,27.39
"Cuyo","Privada","Primaria","SI",11030.412,72.61
"Cuyo","Privada","Secundaria","NO",1842.751,31.24
"Cuyo","Privada","Secundaria","SI",4055.41,68.76
"NEA","Estatal","Primaria","NO",30455.987,72.32
"NEA","Estatal","Primaria","SI",11658.948,27.68
"NEA","Estatal","Secundaria","NO",16290.142,62.72
"NEA","Estatal","Secundaria","SI",9680.784,37.28
"NEA","Privada","Primaria","NO",2143.865,40.58
"NEA","Privada","Primaria","SI",3138.837,59.42
"NEA","Privada","Secundaria","NO",484.641,24.87
"NEA","Privada","Secundaria","SI",1464.271,75.13
"NOA","Estatal","Primaria","NO",29647.059,72.08
"NOA","Estatal","Primaria","SI",11481.668,27.92
"NOA","Estatal","Secundaria","NO",16636.167,74.45
"NOA","Estatal","Secundaria","SI",5708.595,25.55
"NOA","Privada","Primaria","NO",4762.508,74.53
"NOA","Privada","Primaria","SI",1627.678,25.47
"NOA","Privada","Secundaria","NO",6810.142,65.83
"NOA","Privada","Secundaria","SI",3534.829,34.17
"Pampeana","Estatal","Primaria","NO",26372.604,62.51
"Pampeana","Estatal","Primaria","SI",15816.936,37.49
"Pampeana","Estatal","Secundaria","NO",16122.015,68.24
"Pampeana","Estatal","Secundaria","SI",7504.689,31.76
"Pampeana","Privada","Primaria","NO",983.879,12.67
"Pampeana","Privada","Primaria","SI",6782.116,87.33
"Pampeana","Privada","Secundaria","NO",1266.882,21.35
"Pampeana","Privada","Secundaria","SI",4667.441,78.65
"Patagonica","Estatal","Primaria","NO",26398.619,38.33
"Patagonica","Estatal","Primaria","SI",42472.288,61.67
"Patagonica","Estatal","Secundaria","NO",13304.06,33.41
"Patagonica","Estatal","Secundaria","SI",26511.718,66.59
"Patagonica","Privada","Primaria","NO",594.426,9.85
"Patagonica","Privada","Primaria","SI",5437.34,90.15
"Patagonica","Privada","Secundaria","NO",6.661,0.22
"Patagonica","Privada","Secundaria","SI",3048.194,99.78
