"Region","sector_esc","nivel_en_curso","acceso_TIC","cantidad","porcentaje"
"AMBA","Estatal","Primaria",1,5488.72,41.9
"AMBA","Estatal","Primaria",2,442.072,3.37
"AMBA","Estatal","Primaria",3,2545.395,19.43
"AMBA","Estatal","Primaria",4,4623.08,35.29
"AMBA","Estatal","Secundaria",1,5618.167,51.96
"AMBA","Estatal","Secundaria",2,411.707,3.81
"AMBA","Estatal","Secundaria",3,2527.583,23.38
"AMBA","Estatal","Secundaria",4,2255.598,20.86
"AMBA","Privada","Primaria",1,5439.111,86.12
"AMBA","Privada","Primaria",2,120,1.9
"AMBA","Privada","Primaria",3,718.128,11.37
"AMBA","Privada","Primaria",4,38.752,0.61
"AMBA","Privada","Secundaria",1,3466.589,64.8
"AMBA","Privada","Secundaria",2,1.899,0.04
"AMBA","Privada","Secundaria",3,1847.085,34.53
"AMBA","Privada","Secundaria",4,34.3,0.64
"Cuyo","Estatal","Primaria",1,15266.687,29.73
"Cuyo","Estatal","Primaria",2,6008.277,11.7
"Cuyo","Estatal","Primaria",3,9124.481,17.77
"Cuyo","Estatal","Primaria",4,20945.035,40.79
"Cuyo","Estatal","Secundaria",1,18387.371,45.22
"Cuyo","Estatal","Secundaria",2,3814,9.38
"Cuyo","Estatal","Secundaria",3,1230.49,3.03
"Cuyo","Estatal","Secundaria",4,17232.965,42.38
"Cuyo","Privada","Primaria",1,10932.323,71.96
"Cuyo","Privada","Primaria",2,98.089,0.65
"Cuyo","Privada","Primaria",3,2862.967,18.85
"Cuyo","Privada","Primaria",4,1298.576,8.55
"Cuyo","Privada","Secundaria",1,4054.357,68.74
"Cuyo","Privada","Secundaria",2,1.053,0.02
"Cuyo","Privada","Secundaria",3,966.163,16.38
"Cuyo","Privada","Secundaria",4,876.588,14.86
"NEA","Estatal","Primaria",1,7484.909,17.77
"NEA","Estatal","Primaria",2,4174.039,9.91
"NEA","Estatal","Primaria",3,7567.717,17.97
"NEA","Estatal","Primaria",4,22888.27,54.35
"NEA","Estatal","Secundaria",1,7299.968,28.11
"NEA","Estatal","Secundaria",2,2380.816,9.17
"NEA","Estatal","Secundaria",3,4219.058,16.25
"NEA","Estatal","Secundaria",4,12071.084,46.48
"NEA","Privada","Primaria",1,2282.591,43.21
"NEA","Privada","Primaria",2,856.246,16.21
"NEA","Privada","Primaria",3,1882.349,35.63
"NEA","Privada","Primaria",4,261.516,4.95
"NEA","Privada","Secundaria",1,1462.241,75.03
"NEA","Privada","Secundaria",2,2.03,0.1
"NEA","Privada","Secundaria",3,367.044,18.83
"NEA","Privada","Secundaria",4,117.597,6.03
"NOA","Estatal","Primaria",1,8542.027,20.77
"NOA","Estatal","Primaria",2,2939.641,7.15
"NOA","Estatal","Primaria",3,7941.447,19.31
"NOA","Estatal","Primaria",4,21705.612,52.77
"NOA","Estatal","Secundaria",1,4594.383,20.56
"NOA","Estatal","Secundaria",2,1114.212,4.99
"NOA","Estatal","Secundaria",3,4951.674,22.16
"NOA","Estatal","Secundaria",4,11684.493,52.29
"NOA","Privada","Primaria",1,1627.678,25.47
"NOA","Privada","Primaria",3,2589.279,40.52
"NOA","Privada","Primaria",4,2173.229,34.01
"NOA","Privada","Secundaria",1,3528.034,34.1
"NOA","Privada","Secundaria",2,6.795,0.07
"NOA","Privada","Secundaria",3,1306.027,12.62
"NOA","Privada","Secundaria",4,5504.115,53.21
"Pampeana","Estatal","Primaria",1,14712.584,34.87
"Pampeana","Estatal","Primaria",2,1104.352,2.62
"Pampeana","Estatal","Primaria",3,14109.041,33.44
"Pampeana","Estatal","Primaria",4,12263.563,29.07
"Pampeana","Estatal","Secundaria",1,6871.273,29.08
"Pampeana","Estatal","Secundaria",2,633.416,2.68
"Pampeana","Estatal","Secundaria",3,10368.683,43.89
"Pampeana","Estatal","Secundaria",4,5753.332,24.35
"Pampeana","Privada","Primaria",1,5100.036,65.67
"Pampeana","Privada","Primaria",2,1682.08,21.66
"Pampeana","Privada","Primaria",3,649.914,8.37
"Pampeana","Privada","Primaria",4,333.965,4.3
"Pampeana","Privada","Secundaria",1,4663.271,78.58
"Pampeana","Privada","Secundaria",2,4.17,0.07
"Pampeana","Privada","Secundaria",3,1214.617,20.47
"Pampeana","Privada","Secundaria",4,52.265,0.88
"Patagonica","Estatal","Primaria",1,35534.034,51.6
"Patagonica","Estatal","Primaria",2,6938.254,10.07
"Patagonica","Estatal","Primaria",3,11336.152,16.46
"Patagonica","Estatal","Primaria",4,15062.467,21.87
"Patagonica","Estatal","Secundaria",1,20978.735,52.69
"Patagonica","Estatal","Secundaria",2,5532.983,13.9
"Patagonica","Estatal","Secundaria",3,4585.88,11.52
"Patagonica","Estatal","Secundaria",4,8718.18,21.9
"Patagonica","Privada","Primaria",1,4595.262,76.18
"Patagonica","Privada","Primaria",2,842.078,13.96
"Patagonica","Privada","Primaria",3,446.661,7.41
"Patagonica","Privada","Primaria",4,147.765,2.45
"Patagonica","Privada","Secundaria",1,2186.716,71.58
"Patagonica","Privada","Secundaria",2,861.478,28.2
"Patagonica","Privada","Secundaria",3,6.661,0.22
